Indicador,Valor
Numero de proyectos totales,8
Carreras representadas en proyectos,7
Total de personas en proyectos,75
Horas diarias de operación,9
Número de empresas e instituciones que han interactuado con el lab,
Áreas académicas representadas activamente,7
Porcentaje de las áreas académicas de la universidad representadas,
Capital total de proyectos incubados,
Proyectos cerrados durante el año,
Equipos de fabricación digital en estándar de open hardware,
Impresoras fabricadas,1
Diseños compartidos,
Sedes impactadas,1
Académicos capacitados,
Apoyos académicos capacitados,
Estudiantes capacitados,54
Estudiantes con rol de capacitador,5
Memorias realizadas en el fablab,
