Indicador,Valor
Numero de proyectos en 2019,10
Carreras representadas en proyectos,7
Total de personas en proyectos,75
Horas diarias de operación,9
Número de empresas e instituciones que han interactuado con el lab,
Áreas académicas representadas activamente,7
Porcentaje de las áreas académicas del campus representadas,70%
Capital total de proyectos incubados,
Proyectos cerrados durante el año,
Equipos de fabricación digital en estándar de open hardware,
Impresoras fabricadas,1
Sedes impactadas,1
Académicos capacitados,2
Apoyos académicos capacitados,4
Total de personas capacitadas,93
Porcentaje de mujeres capacitadas,17.6%
Estudiantes con rol de capacitador,7
Memorias realizadas en el fablab,8
